twitter,email,priority,verifying_key,signature
alice,alice@manta.network,true,5bCBc34xWDqKSMLRWJY9Wfb5tDWpQLfA1J1BCazxJDRj,yh9s6m85Z35HqbXd1WXpEWjVmPHsK7gz7vrVLUNfXY1sykZvFGzaUvUcRpuyi8B3o3na8bopFYzbCJWhFafSqgA
bob,bob@manta.network,false,ZS4PQtg8mPdKrxFqF5dqynATDY7fkvxNj6zTiWwh9n8,4L4d3KGFuYpNZFmf6aVGBiGEGzps96ccVE1CisFZSoP5LCnXc9giZKnM3wGdSABhmNFXZjTECqExT59vyjWd6rR8
charlie,charlie@manta.network,false,6k4Xi6jtWDYg7B9NLF9JByZxc28yJVGjFHsQQYHsMT3c,3B7EB7krE1q4DmQs1sThVvT4FsGuNoCoJVAYrRHkX2hFowUPS2w4jUdrBPMW5GwpKNpguKsBPiaXqsTdohT54vab
david,david@manta.network,false,EYwWZ7y274YjjW7iWv23XetGmNah4wJjZXs7byVMEPuG,4E5m4VqAw8sXYXrLFEZLY5ij3zRvbVcjFeoJSDMZjT4wab2jEPCbVKwHPjzpPhUV3jM6Mk7q1yxuq9WszN3HS5RZ
evan,evan@manta.network,true,EtQKk4kcZ3Nxzui76nbSJ7uGtbFEP9zzwNydVaAC94NB,3VLxDziC76iZrVpZgu7Xj5V7rtnsABAznVDRw4brABESC4NsGyzPoFixeQCUVyZS5pro3thpKipvHRAW7BTgfefK
potato,potato@farm,false,5QFexUgiMCT7v3sjfEQ6AQ6PKdMizXsX7NeUatPPsHoR,44dKVjTn6EeeuJLCmRpHDYwFzLw3sM6kY4vebkvmECevRnwunfGXKqQfUkqpqbaSvD9hk5PBqetoi4thk1tetJmC
carrot,carrot@farm,true,VNVzRH1phLcH6AjqQDjfxyAZuSibLPUC2QPPhvWvqM2,5U6vtQC5uZb8qWe17qops9S4B3GkFGGg5MR3ecMhN8PDipjUA8omik1pNP8aWeoN24eV3rXj4BpabkiDnhwdnfhP
tomato,tomato@farm,false,F4GpizirUY4UvoYgiTdiGHWsmVmbyWqPgYpZ6GBbpLpY,JfT6Z6CD4wjXcHZapP22df15c5k5JwnYyEu5DuncxTkBP51RvBgSTTNHzzFYeKEqhnRnHSX8zNjxXCweTpuuYq5
lettuce,lettuce@farm,true,36SbAPyvQrBqvx8ucXzyrw587q9paaJtyoiTBeEKJL78,3iRAb12uvF2EiAKr5f9DFjmNBDW22pTksLdYuHFRopEesy1a9poG6SkmceWLZxGXENfYiQ1PYPzsGVD2skczD6da
bacon,bacon@porkbelly,true,Hdk7ED2vwJakcVYtRTS5k8AXECNan9d5pfEaWfzHm43w,3TWBNYXvicp2ZFCE1VRejs6kfUbm7fDkTz81utqnaJDVU5ZH4pB7X6k2AVVEWbPKzayB1Ts4ihLTP26wDLqnczEG
