Twitter,Email,Priority,PublicKey,Signature
alice,alice@manta.network,1,9pCcmUkv8AweBDCDcUDuS2fhzkJaLCMTAEqz4LcjZpK5,LgHbaMa4fAucLo1ou2YoVNsk9YHd8vj6nE599Mxs42QiBuT1NxQEU9YYmLdtK1Lk24UAvtGV38QBQu3gSg5oHvo
bob,bob@manta.network,0,CnWy4yPsuhSQUS4hEFSKfM2q2eKTvwkxZ5FFU338wsoM,TEmCjYdRyCTZNXeFLH4h6ewFw3YxzkUX6htzsboCtZEd1iNoXRJ7RG3HBDkzBv6Kjyo3j3zgZ7A9vvp3CHzQ11c
charlie,charlie@manta.network,1,ESrQWXFycjBr9CyzYcFMTru47EeXGNoJfNzxdK9W797j,Yi5F1Tw1FMbEVk3rq9dqnx3Su4Lhba9nRFz6NTyLDULDxNTmmeFhJ3fvqaqNZsdCgpQEkiFgBYyB5vEr29WCf2v
david,david@manta.network,0,7NEAz6KHa6zqrsxmLQdhwn4tpjKHjhxVGEn3PpDqAGmH,5vjyArhVpd3Q6r2C3s2MHgGdNuh5FUNioQUmGQsn6V4ifTSJ4wpJTBzmzgkWQeLe5PcAzpLEDNe2rp1fEoa3TKMh
evan,evan@manta.network,0,CqeadfYHQmtf8SivatJJFefahJKgVaFgFqWRE7yM1gEU,4gC4ScNBMGDzppeLR5eqkkNiGrkN9w1VZq4gUYsb5f7EvpofhC4CizAfSKkvNtqFpCRVRj4CNy4J2FYHzF6HBqf2
felix,felix@manta.network,0,7Yah9UbKjSMrmNHUYxfwLxzsuAk7bmNkCzVVuFksmi1d,4WbaxyTkSNPFw39yzBK4c9bSx4scHA5Gtw5ucACBhnH2nof6ymCGaXz7ygEjZkkKBqHJT3NUPQVTHPsE3dLshxEZ
gavin,gavin@manta.network,1,Gea698ag1c5vrKxViGZ2cJ6J1SNsL5fwZJRXxiemKwHM,4qTekqHKEZ81P7gAxRjx8fwjBdJh5Sdt2ERCf5ANVBmgjnrUVQS3xxDLFqttuzA7piifQHDdRdYU9QeHB2LQffFC
henry,henry@manta.network,0,FrJ6mNaKVY9KjDp2s3XLbaNV38ShUjTrrqdVpMwXCzGf,3n43X8ykhBGEQ4wMLFYkVwvpkUdcCV6nCMpEpEMpgd7kLGNr3prgCLkKq8Mq7d5T47xQFgZBxsPdJrVSZ6Xj4q6D
iris,iris@manta.network,0,27UkvRWWxTECKphwMuAgDtQbCeQ4Eb5f2uzm86dU7eyh,2oEWVtHLHwQt4jFiRDhJJFzcjpZZLKsyVyLUeQH3Dkn8zLnmFeUqUshHoCm3YnSyht2WxE49yEPzuLKt6hujy6gR
jordan,jordan@manta.network,0,7bnbynS9nxCJ8GHKbMj3ej4BkMgpYtjPaU8nYs1hjqHU,3518wabmE9ocySTr1vnToqaVhEkwWdT7naTs9kCQ3Zp3CjSjmUkeR3rJqgcTCCMVHJDJja5rpswkTXo2E5BDtDJ1
